epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.022,1.30922,2.1077,1.1984,0.81045,0.62179,0.73544,0.43898,1.42264,2.50214,1.44658,0.000661333,0.000661333,0.000661333
2,576.643,1.3197,1.41587,1.21098,0.85985,0.82692,0.87495,0.52012,1.46597,1.48311,1.32006,0.00129513,0.00129513,0.00129513
3,866.393,1.32213,1.19847,1.20344,0.9573,0.80128,0.90971,0.5632,1.40209,1.29567,1.30673,0.00189593,0.00189593,0.00189593
4,1158.79,1.32712,1.0674,1.21171,0.90812,0.85897,0.88707,0.53219,1.32491,1.13345,1.24667,0.0018515,0.0018515,0.0018515
5,1452.35,1.28132,0.9921,1.19156,0.91795,0.90385,0.93255,0.56532,1.3912,0.99357,1.29305,0.001802,0.001802,0.001802
6,1741.8,1.31834,0.95389,1.18822,0.93505,0.83057,0.91159,0.56877,1.36061,1.00799,1.23163,0.0017525,0.0017525,0.0017525
7,2028.36,1.26064,0.87706,1.1769,0.86578,0.84615,0.90291,0.57396,1.37184,1.00172,1.26583,0.001703,0.001703,0.001703
8,2345.22,1.24596,0.83017,1.16324,0.90922,0.89886,0.91191,0.56498,1.36098,0.95876,1.24833,0.0016535,0.0016535,0.0016535
9,2694.12,1.23546,0.80895,1.14954,0.85543,0.83447,0.85978,0.55158,1.30214,0.96516,1.24092,0.001604,0.001604,0.001604
10,3023.3,1.19359,0.76449,1.13561,0.9146,0.89103,0.93262,0.58685,1.31916,0.86123,1.22418,0.0015545,0.0015545,0.0015545
11,3340.37,1.19821,0.74066,1.13057,0.95881,0.89532,0.94099,0.59415,1.34041,0.77474,1.24796,0.001505,0.001505,0.001505
12,3665.5,1.1948,0.73858,1.12663,0.89085,0.88943,0.90043,0.5632,1.31114,0.85449,1.20542,0.0014555,0.0014555,0.0014555
13,3980.22,1.17901,0.72605,1.11968,0.94629,0.90359,0.94088,0.60546,1.3043,0.81275,1.21522,0.001406,0.001406,0.001406
14,4297.86,1.1912,0.71737,1.1146,0.9404,0.87821,0.93559,0.62039,1.29153,0.80864,1.23899,0.0013565,0.0013565,0.0013565
15,4638.32,1.19695,0.71107,1.13525,0.95354,0.92105,0.9567,0.62355,1.28666,0.79501,1.22896,0.001307,0.001307,0.001307
16,4927.09,1.17249,0.6788,1.10605,0.90078,0.91667,0.91135,0.59875,1.2846,0.80615,1.2316,0.0012575,0.0012575,0.0012575
17,5220.28,1.16398,0.67688,1.12391,0.92,0.94231,0.93709,0.585,1.32785,0.78875,1.20169,0.001208,0.001208,0.001208
18,5514.13,1.14336,0.64861,1.09538,0.95191,0.92949,0.94166,0.59602,1.29323,0.71224,1.21428,0.0011585,0.0011585,0.0011585
19,5799.92,1.13861,0.63714,1.09961,0.92557,0.89744,0.94316,0.58345,1.34951,0.73334,1.2698,0.001109,0.001109,0.001109
20,6091.06,1.1465,0.62956,1.11414,0.94809,0.93658,0.96489,0.61296,1.3134,0.76164,1.21549,0.0010595,0.0010595,0.0010595
21,6356.32,1.10721,0.63129,1.07956,0.9817,0.91667,0.96179,0.62762,1.30607,0.70858,1.2227,0.00101,0.00101,0.00101
22,6625.52,1.1314,0.61488,1.09504,0.97878,0.91667,0.96418,0.64301,1.30465,0.67632,1.21535,0.0009605,0.0009605,0.0009605
23,6908.22,1.10109,0.59765,1.08945,0.96075,0.94158,0.96531,0.64614,1.25476,0.69262,1.18434,0.000911,0.000911,0.000911
24,7202.89,1.10868,0.60335,1.07278,0.94169,0.92308,0.94755,0.63807,1.24865,0.67132,1.15191,0.0008615,0.0008615,0.0008615
25,7476.61,1.10295,0.58284,1.08936,0.96677,0.93253,0.95431,0.62548,1.27042,0.66827,1.17606,0.000812,0.000812,0.000812
26,7822.88,1.08826,0.58165,1.06751,0.97089,0.95513,0.97151,0.64239,1.25222,0.62214,1.16494,0.0007625,0.0007625,0.0007625
27,8131.72,1.10124,0.58026,1.08056,0.96151,0.96078,0.96261,0.64417,1.24935,0.64773,1.17498,0.000713,0.000713,0.000713
28,8430.38,1.05375,0.5415,1.05589,0.95204,0.95513,0.965,0.65127,1.25201,0.581,1.14601,0.0006635,0.0006635,0.0006635
29,8723.03,1.05123,0.54589,1.05028,0.97319,0.9359,0.96201,0.66093,1.25445,0.60593,1.17241,0.000614,0.000614,0.000614
30,9009.77,1.07364,0.54468,1.06653,0.97364,0.94714,0.96585,0.65986,1.23538,0.61015,1.18683,0.0005645,0.0005645,0.0005645
31,9283.23,1.01191,0.48409,1.05148,0.96904,0.95513,0.97051,0.6571,1.20036,0.61071,1.15498,0.000515,0.000515,0.000515
32,9556.35,1.00914,0.48065,1.04346,0.97252,0.94872,0.97389,0.6525,1.28167,0.59908,1.18315,0.0004655,0.0004655,0.0004655
33,9819.55,0.98356,0.46952,1.05201,0.97512,0.94231,0.97353,0.6708,1.24076,0.60259,1.17131,0.000416,0.000416,0.000416
34,10081.6,0.97873,0.46561,1.02697,0.98554,0.95513,0.97709,0.66693,1.24582,0.59964,1.17451,0.0003665,0.0003665,0.0003665
35,10343.9,0.96627,0.46073,1.02904,0.96728,0.94752,0.97393,0.67519,1.21137,0.58306,1.16454,0.000317,0.000317,0.000317
36,10605.7,0.96756,0.45242,1.03154,0.94305,0.95513,0.95818,0.653,1.19778,0.56492,1.13455,0.0002675,0.0002675,0.0002675
37,10868,0.95972,0.43819,1.01839,0.98646,0.93388,0.96707,0.66766,1.2036,0.54878,1.137,0.000218,0.000218,0.000218
38,11128.4,0.92736,0.42813,1.02057,0.97163,0.95513,0.96519,0.65553,1.21778,0.6151,1.16657,0.0001685,0.0001685,0.0001685
