epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.976,2.0155,2.9181,1.71232,0.49594,0.26417,0.27813,0.12175,1.9347,2.43255,1.65234,0.00036663,0.00036663,0.00036663
2,531.18,1.89155,2.03796,1.59786,0.29589,0.4785,0.352,0.14343,1.90811,2.04629,1.63864,0.000722371,0.000722371,0.000722371
3,786.348,1.89517,1.96521,1.60916,0.35608,0.50699,0.40757,0.16815,1.90137,1.94896,1.60921,0.00106345,0.00106345,0.00106345
4,1055.82,1.85936,1.81253,1.57779,0.45696,0.50321,0.43841,0.18083,1.90058,1.81147,1.66477,0.00104501,0.00104501,0.00104501
5,1327.16,1.82576,1.77591,1.55859,0.37726,0.54961,0.47057,0.19865,1.86521,1.78747,1.61622,0.00102301,0.00102301,0.00102301
6,1615.15,1.80034,1.71475,1.54187,0.50885,0.54031,0.53487,0.22777,1.81339,1.59461,1.586,0.00100101,0.00100101,0.00100101
7,1871.84,1.78628,1.64822,1.54598,0.44231,0.50473,0.4916,0.21084,1.84672,1.63188,1.58789,0.000979013,0.000979013,0.000979013
8,2127.4,1.78334,1.64361,1.54918,0.4985,0.54958,0.5128,0.21747,1.84403,1.57855,1.59422,0.000957015,0.000957015,0.000957015
9,2381.69,1.77068,1.5717,1.52454,0.51414,0.5265,0.51644,0.22586,1.81126,1.59699,1.58751,0.000935018,0.000935018,0.000935018
10,2636.25,1.77605,1.55259,1.52296,0.61812,0.4876,0.46599,0.19643,1.86822,1.68202,1.62889,0.00091302,0.00091302,0.00091302
11,2890.7,1.76045,1.54117,1.51326,0.71102,0.51526,0.54599,0.23827,1.79563,1.45123,1.57512,0.000891022,0.000891022,0.000891022
12,3135.29,1.76944,1.50129,1.50161,0.53986,0.53826,0.54345,0.23274,1.83134,1.46356,1.59036,0.000869024,0.000869024,0.000869024
13,3376.1,1.73381,1.45689,1.47677,0.53928,0.56611,0.55583,0.24155,1.82304,1.44678,1.57367,0.000847026,0.000847026,0.000847026
14,3620.51,1.71902,1.41097,1.47494,0.71942,0.53388,0.56408,0.24427,1.76396,1.43517,1.53971,0.000825029,0.000825029,0.000825029
15,3872.17,1.72431,1.39822,1.4668,0.57356,0.55023,0.56773,0.25197,1.79633,1.37785,1.55733,0.000803031,0.000803031,0.000803031
16,4125.4,1.73032,1.42496,1.49019,0.73885,0.53113,0.5624,0.25086,1.79672,1.3939,1.55403,0.000781033,0.000781033,0.000781033
17,4380.47,1.69515,1.39839,1.44292,0.7332,0.54437,0.55812,0.24358,1.81336,1.3857,1.56064,0.000759035,0.000759035,0.000759035
18,4636.95,1.70168,1.35764,1.46447,0.61336,0.53763,0.5755,0.2583,1.79486,1.32331,1.5554,0.000737037,0.000737037,0.000737037
19,4891.92,1.68806,1.343,1.46923,0.55353,0.54755,0.57753,0.2612,1.80325,1.29241,1.54597,0.00071504,0.00071504,0.00071504
20,5147.05,1.66689,1.30539,1.4451,0.63685,0.58185,0.59671,0.26676,1.80795,1.25755,1.56259,0.000693042,0.000693042,0.000693042
21,5402.25,1.65335,1.28135,1.44065,0.5789,0.60245,0.60126,0.26946,1.77857,1.28839,1.55391,0.000671044,0.000671044,0.000671044
22,5657.57,1.66375,1.30829,1.42955,0.6025,0.56518,0.571,0.25445,1.7545,1.34832,1.55274,0.000649046,0.000649046,0.000649046
23,5913.14,1.67016,1.29399,1.4364,0.61204,0.60136,0.59773,0.26817,1.81268,1.28385,1.57464,0.000627048,0.000627048,0.000627048
24,6169.07,1.6361,1.25492,1.41935,0.58312,0.59892,0.60777,0.2669,1.8066,1.27937,1.55569,0.000605051,0.000605051,0.000605051
25,6423.7,1.63755,1.23767,1.43511,0.69281,0.55082,0.58398,0.26953,1.77634,1.28353,1.5402,0.000583053,0.000583053,0.000583053
26,6679.51,1.61813,1.24201,1.42872,0.55082,0.6078,0.58989,0.26904,1.7758,1.29695,1.5475,0.000561055,0.000561055,0.000561055
27,6932.54,1.63828,1.23481,1.43593,0.55893,0.61504,0.60737,0.27594,1.77434,1.23354,1.53446,0.000539057,0.000539057,0.000539057
28,7185.78,1.59371,1.22062,1.40677,0.59405,0.62146,0.61343,0.27559,1.77354,1.24944,1.55042,0.000517059,0.000517059,0.000517059
29,7436.66,1.60439,1.20417,1.40075,0.6024,0.62591,0.62433,0.28104,1.77465,1.22737,1.54472,0.000495062,0.000495062,0.000495062
30,7689.43,1.60633,1.18591,1.40757,0.64192,0.61121,0.62822,0.28,1.77708,1.23256,1.54332,0.000473064,0.000473064,0.000473064
